id,total_value,neighborhood,pclass,p13_date,sqft,bathrooms,bedrooms,allrooms,stories,units,zoning,construction,year_built,basement_sqft,lot_sqft,change_date,sales_date,recordation_date,zipcode
1295511,415508,Pacific Heights,Condominium,1998-04-01,870,2.0,2,4,0,1,RM2,D,1960,0,0,04/01/1998,11/14/1997,08/13/1970,94115
920543,927860,Pacific Heights,Condominium,2014-08-19,1700,2.0,3,6,1,1,RH2,D,1923,0,0,08/01/1999,04/18/2014,08/19/2014,94109
1409012,1290670,Pacific Heights,Condominium,2012-05-01,1657,2.0,2,6,1,1,RM1,other,1962,0,0,08/01/1999,05/01/2012,05/01/2012,94115
1862976,314858,Pacific Heights,Condominium,1999-08-01,1000,1.0,2,3,1,1,RM1,D,1907,0,0,08/01/1999,03/12/1991,05/13/1930,94115
1569939,1782000,Pacific Heights,Condominium,2014-03-21,1600,2.0,2,5,1,1,RH2,D,1981,0,0,08/01/1999,08/13/2013,03/21/2014,94115
1263189,148379,Pacific Heights,Condominium,2012-05-10,2180,3.0,4,7,1,0,RH3,D,1936,0,3188,01/01/2012,,05/10/2012,94115
1484083,778900,Pacific Heights,Condominium,1999-05-01,975,2.0,2,4,0,1,RM3,D,1987,0,0,05/01/1999,09/23/1940,09/23/1940,94109
1629092,1297697,Noe Valley,Dwelling,1999-08-01,1400,2.0,3,9,1,1,RH2,D,1900,0,3021,08/01/1999,06/10/1930,03/28/1980,94131
68381,1481696,Pacific Heights,Condominium,2012-12-19,1587,2.0,2,5,1,0,,D,1888,0,0,,12/19/2012,12/19/2012,94115
1281379,773216,Pacific Heights,Condominium,1999-03-01,1270,1.0,2,5,1,1,RM1,D,1913,0,0,03/01/1999,01/02/1941,01/02/1941,94115
741168,475514,Pacific Heights,Condominium,2012-08-09,710,1.0,1,3,0,1,RH2,D,1900,0,0,06/01/1999,02/11/1931,08/09/2012,94109
1310122,733037,Pacific Heights,Dwelling,2012-10-12,3380,3.0,4,9,2,1,RH2,D,1878,0,3830.7,08/01/1999,,10/12/2012,94115
1722233,2997044,Noe Valley,Dwelling,2012-03-08,3355,3.0,3,10,1,1,RH1,D,1939,0,2848,04/01/2010,03/08/2012,03/08/2012,94131
1693828,1460000,Pacific Heights,Condominium,2013-01-24,1511,1.0,3,5,1,0,RH2,D,1925,0,3310,01/01/2009,,01/24/2013,94115
977942,628841,Pacific Heights,Condominium,2012-08-03,842,1.0,1,4,0,1,NC2,D,1987,0,0,12/01/1997,08/03/2012,08/03/2012,94115
1074799,1002528,Noe Valley,Dwelling,2012-11-15,1162,2.0,3,6,2,1,RM1,D,1910,0,1598,02/01/1998,11/15/2012,11/15/2012,94114
819064,1023284,Pacific Heights,Condominium,2011-09-27,1030,2.0,2,5,0,1,RM2,other,1964,0,0,08/01/1999,03/17/1980,09/27/2011,94123
426476,1375873,Pacific Heights,Dwelling,2011-02-11,1009,1.0,3,6,1,1,RH2,D,1898,0,2556.25,01/01/1998,08/03/1940,02/11/2011,94115
1300269,4180493,Pacific Heights,Condominium,2011-05-12,4285,4.0,4,10,2,1,RM2,C,1931,0,0,06/01/1999,05/12/2011,05/12/2011,94115
1021141,620376,Pacific Heights,Condominium,1999-08-01,625,1.0,1,3,1,1,RM2,D,1969,0,0,08/01/1999,05/26/1960,05/26/1960,94123
316574,764886,Pacific Heights,Condominium,2012-04-20,1070,1.0,2,4,0,1,RM1,D,1916,0,0,08/01/1999,04/20/2012,04/20/2012,94115
429004,1421457,Noe Valley,Dwelling,2010-03-12,1700,2.0,2,6,2,1,RH2,D,1900,0,3036,02/01/2003,03/12/2010,03/12/2010,94114
349151,1200000,Noe Valley,Condominium,2013-10-28,1168,1.0,3,6,1,0,,D,1923,0,2770,10/01/2004,10/28/2013,10/28/2013,94114
749787,782722,Noe Valley,Dwelling,1997-02-01,1733,2.0,4,7,2,1,RH2,D,1913,0,2874,02/01/1997,06/06/1996,10/09/1951,94114
253452,1764379,Noe Valley,Dwelling,2012-12-21,2028,2.0,4,8,2,1,RH2,D,1907,0,3123,12/01/2007,02/26/1980,12/21/2012,94114
800168,715224,Pacific Heights,Condominium,1999-08-01,1380,1.0,2,5,1,1,RM1,D,1913,0,0,08/01/1999,07/08/1940,07/08/1940,94115
1306244,643467,Pacific Heights,Condominium,2011-07-12,1115,2.0,1,4,0,1,RM1,D,1962,0,0,11/01/1995,07/12/2011,07/12/2011,94115
1451686,413763,Noe Valley,Condominium,1999-08-01,2209,2.0,2,5,2,1,RH2,D,1987,0,0,08/01/1999,07/21/1987,04/14/1980,94131
976252,1562942,Noe Valley,Dwelling,2012-07-11,1844,3.0,3,8,2,1,RH2,D,1919,0,1875,08/01/1999,07/11/2012,07/11/2012,94114
