"district_code","lea_district","name","caed_name","tiger_name","test_name","county_name","website","intptlat","intptlon","pct_in_county","lograde","higrade","county_code","school_code","test_year","subgroup_id","total_caaspp_enrollment","total_tested_at_entity_level","total_tested_at_subgroup_level","grade","test_id","caaspp_reported_enrollment","students_tested","students_with_scores","percent_tested","mean_scale_score","percentage_standard_exceeded","percentage_standard_met","percentage_standard_met_and_above","percentage_standard_nearly_met","percentage_standard_not_met","area_1_percentage_above_standard","area_1_percentage_at_or_near_standard","area_1_percentage_below_standard","area_2_percentage_above_standard","area_2_percentage_at_or_near_standard","area_2_percentage_below_standard","area_3_percentage_above_standard","area_3_percentage_at_or_near_standard","area_3_percentage_below_standard","area_4_percentage_above_standard","area_4_percentage_at_or_near_standard","area_4_percentage_below_standard","State","FIPS","TotPop","Pop_5_17","Pop_5_17_Poverty","Pop_5_17_Poverty_Percent","CO","DISTRICT","ExpendituresEDP365","CurrentExpenseADA","CurrentExpensePerADA","LEAType"
69377,4800,"Berryessa Union Elementary School District","Berryessa Union Elementary","Berryessa Union Elementary School District","Mathematics","Santa Clara","www.berryessa.k12.ca.us",37.399372,-121.847893,100,0,8,43,0,2015,1,5270,5223,5223,5,2,891,876,873,98.3,2506.4,21,22,42,28,29,28,33,40,22,44,34,20,51,29,0,0,0,"CA",6,84482,9442,831,8.801101,43,"Berryessa Union Elementary",63732409,7539.9,8453,"Elementary"
69385,7140,"Cambrian Elementary School District","Cambrian","Cambrian Elementary School District","Mathematics","Santa Clara","www.cambriansd.org",37.270229,-121.932471,100,0,8,43,0,2015,1,2263,2227,2227,5,2,380,371,371,97.6,2523.4,27,25,52,26,21,35,33,32,27,49,24,29,48,23,0,0,0,"CA",6,32112,3512,186,5.296128,43,"Cambrian Elementary",29768322,3296.3,9031,"Elementary"
69393,7200,"Campbell Union Elementary School District","Campbell Union","Campbell Union Elementary School District","Mathematics","Santa Clara","www.campbellusd.org",37.28969,-121.955753,100,0,8,43,0,2015,1,4880,4795,4795,5,2,843,817,816,96.9,2503.4,25,18,43,24,32,30,28,42,25,38,37,23,45,32,0,0,0,"CA",6,100355,9897,956,9.659493,43,"Campbell Union",73528282,7369.2,9978,"Elementary"
69419,10290,"Cupertino Union Elementary School District","Cupertino Union","Cupertino Union Elementary School District","Mathematics","Santa Clara","www.cusdk8.org",37.306491,-122.08064,100,0,8,43,0,2015,1,13147,12882,12882,5,2,2297,2244,2244,97.7,2593.6,63,18,82,13,6,68,23,9,61,31,8,57,36,7,0,0,0,"CA",6,147517,21042,696,3.30767,43,"Cupertino Union Elementary",172933981,18697,9249,"Elementary"
69435,13140,"Evergreen Elementary School District","Evergreen Elementary","Evergreen Elementary School District","Mathematics","Santa Clara","www.eesd.org",37.294272,-121.756852,100,0,8,43,0,2015,1,9128,9052,9052,5,2,1538,1516,1512,98.6,2517.8,30,20,50,23,27,34,30,36,31,38,31,28,45,28,0,0,0,"CA",6,105948,14634,1350,9.225092,43,"Evergreen Elementary",103475157,12493.7,8282,"Elementary"
69450,14370,"Franklin-McKinley Elementary School District","Franklin-Mckinley Elementary","Franklin-McKinley Elementary School District","Mathematics","Santa Clara","www.voicescharterschool.com",37.302768,-121.845409,100,0,8,43,0,2015,1,5932,5872,5872,5,2,968,947,947,97.8,2482,16,15,31,29,39,21,29,50,16,39,46,15,45,40,0,0,0,"CA",6,95608,12133,2245,18.503256,43,"Franklin-McKinley Elementary",86122425,8631.3,9978,"Elementary"
69484,15180,"Gilroy Unified School District","Gilroy Unified","Gilroy Unified School District","Mathematics","Santa Clara","www.macsa.org",37.040598,-121.48898,100,0,12,43,0,2015,1,7030,6816,6816,5,2,787,762,758,96.8,2484.2,13,19,33,30,37,21,33,46,13,43,45,12,50,38,0,0,0,"CA",6,61548,12968,1876,14.466379,43,"Gilroy Unified",95227568,10819.6,8801,"Unified"
69492,20700,"Lakeside Joint Elementary School District","Lakeside Joint","Lakeside Joint Elementary School District","Mathematics","Santa Clara","www.lakesidelosgatos.org",37.188308,-122.059884,15.756909,0,8,43,0,2015,1,48,47,47,5,2,11,11,11,100,2528.1,18,45,64,18,18,18,55,27,9,64,27,36,45,18,0,0,0,"CA",6,2718,233,15,6.437768,43,"Lakeside Joint Elementary",1229448,88.2,13944,"Elementary"
69500,22350,"Loma Prieta Joint Union Elementary School District","Loma Prieta Joint Union Elementary","Loma Prieta Joint Union Elementary School District","Mathematics","Santa Clara","www.loma.k12.ca.us",37.121797,-121.876208,63.103472,0,8,43,0,2015,1,385,371,371,5,2,65,58,58,89.2,2514.6,29,17,47,29,24,26,43,31,34,34,31,29,36,34,0,0,0,"CA",6,3886,392,24,6.122449,43,"Loma Prieta Joint Union Elemen",5338251,478.1,11165,"Elementary"
69518,22650,"Los Altos Elementary School District","Los Altos Elementary","Los Altos Elementary School District","Mathematics","Santa Clara","www.springerschool.net",37.355634,-122.130105,100,0,8,43,0,2015,1,3295,3249,3249,5,2,550,540,539,98.2,2604.6,68,18,86,10,3,72,22,6,66,28,5,64,31,5,0,0,0,"CA",6,43230,5815,129,2.218401,43,"Los Altos Elementary",52513087,4569.5,11492,"Elementary"
69526,22830,"Los Gatos Union Elementary School District","Los Gatos Union Elementary","Los Gatos Union Elementary School District","Mathematics","Santa Clara","www.lgusd.org",37.188829,-121.937989,100,0,8,43,0,2015,1,2420,2370,2370,5,2,414,402,402,97.1,2557.8,41,28,68,23,9,48,35,17,38,49,13,38,51,10,0,0,0,"CA",6,28927,3638,97,2.6663,43,"Los Gatos Union Elementary",31413319,3216.6,9766,"Elementary"
69542,23130,"Luther Burbank Elementary School District","Luther Burbank","Luther Burbank Elementary School District","Mathematics","Santa Clara","www.lbsd.k12.ca.us",37.32276,-121.927503,100,0,8,43,0,2015,1,338,336,336,5,2,47,47,47,100,2446,4,11,15,23,62,4,21,74,6,36,57,0,45,55,0,0,0,"CA",6,4065,445,74,16.629213,43,"Luther Burbank Elementary",5553406,518.3,10715,"Elementary"
73387,24500,"Milpitas Unified School District","Milpitas Unified","Milpitas Unified School District","Mathematics","Santa Clara","www.musd.org",37.436444,-121.715636,100,0,12,43,0,2015,1,6259,6124,6124,5,2,756,741,740,98,2531.7,34,18,52,26,22,40,30,30,33,40,27,29,47,24,0,0,0,"CA",6,70262,10998,870,7.910529,43,"Milpitas Unified",85655344,9998.1,8567,"Unified"
69575,25770,"Moreland Elementary School District","Moreland","Moreland Elementary School District","Mathematics","Santa Clara","www.moreland.org",37.296331,-121.980543,100,0,8,43,0,2015,1,3077,3011,3011,5,2,546,529,528,96.9,2543.5,37,20,57,27,16,42,33,24,37,40,24,34,47,19,0,0,0,"CA",6,50644,5654,443,7.835161,43,"Moreland",43545346,4651.4,9362,"Elementary"
69583,25830,"Morgan Hill Unified School District","Morgan Hill Unified","Morgan Hill Unified School District","Mathematics","Santa Clara","www.secondstart.org",37.176017,-121.621042,100,0,12,43,0,2015,1,5217,5078,5078,5,2,651,638,634,98,2489.8,17,16,33,31,35,21,32,47,18,39,44,16,46,38,0,0,0,"CA",6,63709,12495,986,7.891156,43,"Morgan Hill Unified",69482174,8086.8,8592,"Unified"
69591,26280,"Mountain View Whisman Elementary School District","Mountain View Whisman","Mountain View Whisman Elementary School District","Mathematics","Santa Clara","www.mvwsd.org",37.414028,-122.070678,100,0,8,43,0,2015,1,3191,3131,3131,5,2,582,567,567,97.4,2539.3,38,19,57,20,23,45,26,30,35,37,28,35,41,25,0,0,0,"CA",6,69812,5902,510,8.641139,43,"Mountain View Whisman",51511747,4878.5,10559,"Elementary"
69617,26400,"Mount Pleasant Elementary School District","Mt. Pleasant Elementary","Mount Pleasant Elementary School District","Mathematics","Santa Clara","www.mpesd.org",37.350151,-121.783714,100,0,8,43,0,2015,1,1676,1644,1644,5,2,265,256,256,96.6,2452.9,6,8,14,30,55,9,24,67,7,34,59,7,41,52,0,0,0,"CA",6,23337,2940,432,14.693878,43,"Mt. Pleasant Elementary",24992132,2416.5,10342,"Elementary"
69625,27810,"Oak Grove Elementary School District","Oak Grove Elementary","Oak Grove Elementary School District","Mathematics","Santa Clara","www.ogsd.net",37.24803,-121.794023,100,0,8,43,0,2015,1,7276,7104,7104,5,2,1253,1212,1202,96.7,2489,17,17,34,29,36,21,31,48,18,41,41,17,44,38,0,0,0,"CA",6,111069,13832,1350,9.759977,43,"Oak Grove Elementary",95920505,10466.5,9165,"Elementary"
69633,28680,"Orchard Elementary School District","Orchard Elementary","Orchard Elementary School District","Mathematics","Santa Clara","www.orchardsd.org",37.383902,-121.908809,100,0,8,43,0,2015,1,599,586,586,5,2,104,104,104,100,2485.2,21,13,35,32,34,25,32,43,17,36,47,21,44,35,0,0,0,"CA",6,19180,1395,117,8.387097,43,"Orchard Elementary",7322231,867,8445,"Elementary"
69641,29610,"Palo Alto Unified School District","Palo Alto Unified","Palo Alto Unified School District","Mathematics","Santa Clara","www.pausd.palo-alto.ca.us",37.409518,-122.149375,100,0,12,43,0,2015,1,8045,7093,7093,5,2,1054,1027,1025,97.4,2592.1,62,21,83,12,5,67,23,10,61,31,8,58,36,6,0,0,0,"CA",6,85698,13022,440,3.378897,43,"Palo Alto Unified",193189653,12023.9,16067,"Unified"
69666,34590,"San Jose Unified School District","San Jose Unified","San Jose Unified School District","Mathematics","Santa Clara","www.sjusd.org",37.262391,-121.865851,100,0,12,43,0,2015,1,19829,19393,19393,5,2,2573,2517,2513,97.8,2490.5,19,15,34,27,38,23,28,50,20,37,43,18,43,38,0,0,0,"CA",6,267077,41199,3891,9.444404,43,"San Jose Unified",310482851,30813.4,10076,"Unified"
